_input,_num,_widgetName,_source,_resultNumber,_pageUrl,name,url,url/_source,url/_title,url/_text,description
,11,sig-crawler,sig-crawler,11,http://votesmart.org/interest-group/1292/united-to-end-genocide,United To End Genocide,http://endgenocide.org,,,http://endgenocide.org,United to End Genocide is dedicated to preventing and ending genocide and mass atrocities worldwide by building a powerful lasting movement of community activists faith leaders students artists investors and genocide survivors and all those who believe we must fulfill the promise the world made following the Holocaust: Never Again! The Save Darfur Coalition and the Genocide Intervention Network are now known as United to End Genocide.
,12,sig-crawler,sig-crawler,12,http://votesmart.org/interest-group/2183/the-center-for-education-reform,The Center for Education Reform,http://www.edreform.com/,,,http://www.edreform.com/,In the emerging landscape of education reform the Center for Education Reform is the leading voice for structural and sustainable changes that can dramatically improve educational opportunities for decades to come. Our guiding purpose is to improve the accuracy and quality of discourse and decisions about education reform leading to fundamental policy changes that make a difference long after news and election cycles have ended.
,13,sig-crawler,sig-crawler,13,http://votesmart.org/interest-group/1226/gun-owners-of-america,Gun Owners of America,http://www.gunowners.org,,,http://www.gunowners.org,"Gun Owners of America (GOA) is a non-profit lobbying organization formed in 1975 to preserve and defend the Second Amendment rights of gun owners. GOA sees firearms ownership as a freedom issue."
,14,sig-crawler,sig-crawler,14,http://votesmart.org/interest-group/1419/center-for-international-policy,Center for International Policy,http://www.ciponline.org,,,http://www.ciponline.org,"The Center for International Policy is a nonprofit research and advocacy organization based in Washington D.C. Through advocacy and policy research CIP promotes transparency and accountability in U.S. foreign policy and global relations. We advocate policies that advance international cooperation demilitarization respect for human rights and action to alleviate climate change and stop illicit financial flows. Our work provides policy recommendations and analysis to decision makers in government international organizations the private sector and civil society."
,15,sig-crawler,sig-crawler,15,http://votesmart.org/interest-group/1970/vote-kids,Vote Kids,http://www.votekids.org/,,,http://www.votekids.org/,"Vote Kids is a nonprofit organization 501(c)(4) organization devoted to making children a political priority  not a political afterthought and demanding that public officials support better policies for kids by mobilizing voters running campaigns spotlighting the voting records of selected legislators promoting children and family issues and creating a database of voters with a strong interest in voting for children."
,16,sig-crawler,sig-crawler,16,http://votesmart.org/interest-group/1975/national-defense-pac,National Defense PAC,http://nationaldefensepac.org/,,,http://nationaldefensepac.org/,"National Defense Political Action Committee [NationalDefensePAC] is dedicated to supporting the election of balanced-budget-committed Military Veterans to the U. S. Congress. We seek Military Veterans running for elected office who believe in limited government will rein in the out of control spending of Congress are committed to preserving and defending the US Constitution and will support the independence and freedom of the individual as outlined in the Bill of Rights. Our purpose is to support Military Veterans for election to Congress who are dedicated to promoting the Free Enterprise System that created the greatest economic engine in the history of Planet Earth who will CUT SPENDING and commit to the premise that raising taxes is not the answer to our spiraling national plunge towards bankruptcy. We sponsor candidates who will provide for a strong national defense and strong effective homeland security work tirelessly to ensure illegal aliens are prevented from crossing our national borders and are deported when they do and who will endorse the teaching of accurate US history and the Founding Fathers' core values in educational institutions."
,17,sig-crawler,sig-crawler,17,http://votesmart.org/interest-group/2060/western-organization-of-resource-councils,Western Organization of Resource Councils,http://www.worc.org/,,,http://www.worc.org/,"WORCs mission is to advance the vision of a democratic sustainable and just society through community action. WORC is committed to building sustainable environmental and economic communities that balance economic growth with the health of people and stewardship of their land water and air resources."
,18,sig-crawler,sig-crawler,18,http://votesmart.org/interest-group/1699/fleet-reserve-association,Fleet Reserve Association,http://www.fra.org,,,http://www.fra.org,FRA is a congressionally chartered non-profit organization that represents the interests of the Sea Service community before the U.S. Congress. The Association is named after the Navys program for personnel transferring to the Fleet Reserve or Fleet Marine Corps Reserve after 20 or more years of active duty but less than 30 years for retirement purposes and its membership is comprised of current and former enlisted members of the U.S. Navy Marine Corps and Coast Guard.
,19,sig-crawler,sig-crawler,19,http://votesmart.org/interest-group/1816/race-forward,Race Forward,http://www.raceforward.org/,,,http://www.raceforward.org/,"Race Forward's mission is to build awareness solutions and leadership for racial justice by generating transformative ideas information and experiences. We define racial justice as the systematic fair treatment of people of all races resulting in equitable opportunities and outcomes for all and we work to advance racial justice through media research and leadership development."
,20,sig-crawler,sig-crawler,20,http://votesmart.org/interest-group/922/national-parks-conservation-association,National Parks Conservation Association,http://www.npca.org/,,,http://www.npca.org/,"We (National Parks Conservation Association) believe that America's national parks and historical sites embody the American spirit. NPCA plays a crucial role in ensuring that these magnificent lands and landmarks are protected in perpetuity: We advocate for the national parks and the National Park Service; we educate decision makers and the public about the importance of preserving the parks; we help to convince members of Congress to uphold the laws that protect the parks and to support new legislation to address threats to the parks; we fight attempts to weaken these laws in the courts; and we assess the health of the parks and park management to better inform our advocacy work."
,21,sig-crawler,sig-crawler,21,http://votesmart.org/interest-group/38/american-congress-of-obstetricians-and-gynecologists,American Congress of Obstetricians and Gynecologists,http://www.acog.org,,,http://www.acog.org,"The American College of Obstetricians and Gynecologists (ACOG) is a membership organization dedicated to the advancement of women's health through education practice research and advocacy."
,22,sig-crawler,sig-crawler,22,http://votesmart.org/interest-group/735/international-association-of-machinists-and-aerospace-workers,International Association of Machinists and Aerospace Workers,http://www.goiam.org/,,,http://www.goiam.org/,"The International Association of Machinists and Aerospace Workers is active in more than 200 basic industries as defined by the US Department of Labor. It maintains one or more agreements with almost every major employer in the USA and Canada. The mission of the IAM Headquarters is to help individual members realize that potential. The departments of the IAM mirror the diversity of the members that form the union."
,23,sig-crawler,sig-crawler,23,http://votesmart.org/interest-group/1843/the-american-geriatrics-society,The American Geriatrics Society,http://www.americangeriatrics.org,,,http://www.americangeriatrics.org,The American Geriatrics Society (AGS) is a not-for-profit organization of over 6000 health professionals devoted to improving the health independence and quality of life of all older people. The Society provides leadership to healthcare professionals policy makers and the public by implementing and advocating for programs in patient care research professional and public education and public policy.
,24,sig-crawler,sig-crawler,24,http://votesmart.org/interest-group/1665/consumer-action,Consumer Action,http://www.consumer-action.org,,,http://www.consumer-action.org,Consumer Action is a non-profit membership-based organization that was founded in San Francisco in 1971. During its more than three decades Consumer Action has continued to serve consumers nationwide by advancing consumer rights referring consumers to complaint-handling agencies through our free hotline publishing educational materials in Chinese English Korean Spanish Vietnamese and other languages advocating for consumers in the media and before lawmakers and comparing prices on credit cards bank accounts and long distance services.
,25,sig-crawler,sig-crawler,25,http://votesmart.org/interest-group/57/born-free-usa,Born Free USA,http://www.bornfreeusa.org/,,,http://www.bornfreeusa.org/,Born Free USA is a national animal advocacy nonprofit 501(c)(3) organization contributions to which are tax-deductible. Our mission is to end the suffering of wild animals in captivity rescue individual animals in need protect wildlife  including highly endangered species  in their natural habitats and encourage compassionate conservation globally.
,26,sig-crawler,sig-crawler,26,http://votesmart.org/interest-group/545/national-gay-lesbian-task-force,National Gay & Lesbian Task Force,http://www.thetaskforce.org/,,,http://www.thetaskforce.org/,"Formed for the elimination of prejudice against persons based on their sexual orientation. Lobbies organizes educates and demonstrates for full civil rights and equality for lesbians and gay men."
,27,sig-crawler,sig-crawler,27,http://votesmart.org/interest-group/1673/association-of-community-organization-for-reform-now-acorn,Association of Community Organization for Reform Now (ACORN),http://www.acorn.org/,,,http://www.acorn.org/,This organization was dissolved in 2010. It's archives are kept here as a public service. "ACORN the Association of Community Organizations for Reform Now was the nation's largest community organization of low- and moderate-income families working together for social justice and stronger communities. From 1970 to its end in 2010 ACORN had grown to more than 175000 member families organized in 850 neighborhood chapters in 75 cities across the U.S. and in cities in Canada the Dominican Republic and Peru. ACORN's accomplishments include successful campaigns for better housing schools neighborhood safety health care job conditions and more. "
,28,sig-crawler,sig-crawler,28,http://votesmart.org/interest-group/517/parkinsons-action-network,Parkinsons Action Network,http://www.parkinsonsaction.org/,,,http://www.parkinsonsaction.org/,We are the unified voice of the Parkinsons community advocating for better treatments and a cure. In partnership with other Parkinsons organizations and our powerful grassroots network we educate the public and government leaders on better policies for research and an improved quality of life for people living with Parkinsons.
,29,sig-crawler,sig-crawler,29,http://votesmart.org/interest-group/329/citizens-for-global-solutions,Citizens for Global Solutions,http://www.globalsolutions.org/,,,http://www.globalsolutions.org/,"GlobalSolutions.org is a groundbreaking national online movement for Americans who want the United States to take a responsible and cooperative role in the world."
,30,sig-crawler,sig-crawler,30,http://votesmart.org/interest-group/1481/american-conservative-union,American Conservative Union,http://www.conservative.org,,,http://www.conservative.org,"Founded in 1964 the American Conservative Union (ACU) is the oldest and largest grassroots conservative organization in the nation. For more than forty years ACU has served as an umbrella organization harnessing the collective strength of conservative organizations fighting for Americans who are concerned with liberty personal responsibility traditional values and strong national defense. As Americas premier conservative voice ACU is the leading entity in providing conservative positions on issues to Congress the Executive Branch State Legislatures the media political candidates and the public."
,31,sig-crawler,sig-crawler,31,http://votesmart.org/interest-group/679/national-association-for-the-self-employed,National Association for the Self-Employed,http://www.nase.org,,,http://www.nase.org,"The National Association for the Self-Employed is the nation's leading resource for the self-employed and micro-businesses bringing a broad range of benefits to help entrepeneurs succeed and to drive the continual growth of this vital segment of the American economy. The NASE was founded in 1981 to provide day-to-day support benefits and consolidated buying power that traditionally had been available only to large corporations. Today the NASE represents hundreds of thousands of entrepreneurs and micro-businesses and is the largest nonprofit nonpartisan association of its kind in the United States."
,32,sig-crawler,sig-crawler,32,http://votesmart.org/interest-group/1420/armenian-national-committee-of-america,Armenian National Committee of America,http://anca.org/,,,http://anca.org/,"The Armenian National Committee of America (ANCA) is the largest and most influential Armenian American grassroots political organization. Working in coordination with a network of offices chapters and supporters throughout the United States and affiliated organizations around the world the ANCA actively advances the concerns of the Armenian American community on a broad range of issues."
,33,sig-crawler,sig-crawler,33,http://votesmart.org/interest-group/1860/women-employed,Women Employed,http://www.womenemployed.org,,,http://www.womenemployed.org,"Women Employed has one passion: to make life better for working women. We believe that all women deserve full and fair economic opportunities. That means better career options and higher pay more opportunities for training and education and strict enforcement of fair employment laws. "Women Employed is a leading national advocate for women's economic advancement. We analyze workplace issues educate policy makers and build support to improve opportunities and incomes."
,34,sig-crawler,sig-crawler,34,http://votesmart.org/interest-group/1015/national-education-association,National Education Association,http://www.nea.org,,,http://www.nea.org,"Our mission is to advocate for education professionals and to unite our members and the nation to fulfill the promise of public education to prepare every student to succeed in a diverse and interdependent world."
,35,sig-crawler,sig-crawler,35,http://votesmart.org/interest-group/591/retire-safe,Retire Safe,http://www.retiresafe.org,,,http://www.retiresafe.org,"RetireSafe.org is a grassroots action network promoting dynamic pro-growth solutions to Americas retirement security challenges. This grassroots network consists of all generations of citizens united in the belief that more choice and control over their retirement will produce prosperity for young and old. We seek retirement security through policies that encourage economic growth wealth creation and individual choice and control. Central to this is the ownership of retirement assets and the ability to pass those assets from generation to generation."
,36,sig-crawler,sig-crawler,36,http://votesmart.org/interest-group/351/national-ready-mixed-concrete-association,National Ready Mixed Concrete Association,http://www.nrmca.org,,,http://www.nrmca.org,"Our (National Ready Mixed Concrete Association) mission is to provide exceptional value for our members by responsibly representing and serving the entire ready mixed concrete through leadership promotion education and partnering to ensure ready mixed concrete is the building material of choice."
,37,sig-crawler,sig-crawler,37,http://votesmart.org/interest-group/988/californians-for-population-stabilization,Californians for Population Stabilization,http://www.capsweb.org/,,,http://www.capsweb.org/,"Californians for Population Stabilization (CAPS) works to formulate and advance policies and programs designed to stabilize the population of California at a level which will preserve a good quality of life for all Californians."
,38,sig-crawler,sig-crawler,38,http://votesmart.org/interest-group/1864/the-national-mining-association,The National Mining Association,http://www.nma.org/,,,http://www.nma.org/,The National Mining Association (NMA) is U.S. mining's advocate in Washington D.C. and beyond. NMA is the only national trade organization that represents the interests of mining before Congress the administration federal agencies the judiciary and the mediaproviding a clear voice for U.S. mining.NMAs mission is to build support for public policies that will help America fully and responsibly utilize its coal and mineral resources.
,39,sig-crawler,sig-crawler,39,http://votesmart.org/interest-group/1382/americans-for-immigration-control,Americans for Immigration Control,http://www.immigrationcontrol.com/,,,http://www.immigrationcontrol.com/,"Americans for Immigration Control is an American non-partisan grassroots activist organization with more than a quarter of a million members - citizens of all races creeds and colors. AIC is about stopping the millions of illegal aliens who sneak across our border from Mexico every year. AIC is about demanding that our federal government immediately use maximum manpower and support equipment to secure our nation from terrorists drug smugglers and illegals."
,40,sig-crawler,sig-crawler,40,http://votesmart.org/interest-group/101/council-for-a-livable-world,Council for a Livable World,http://www.clw.org/,,,http://www.clw.org/,"Council for a Livable World is a Washington D.C.-based non-profit non-partisan advocacy organization dedicated to reducing the danger of nuclear weapons and increasing national security. Our mission is to advocate for sensible national security policies and to help elect congressional candidates who support them."
,41,sig-crawler,sig-crawler,41,http://votesmart.org/interest-group/1221/sportsmens-and-animal-owners-voting-alliance,Sportsmen's and Animal Owners' Voting Alliance,http://saova.org/,,,http://saova.org/,"The Sportsmen and Animal Owners' Voting Alliance (SAOVA) is a nationwide nonpartisan group of volunteers seeking to elect politicians who will oppose the "Animal Rightist" (AR) threat to our rights as Americans. It is the only national group working to protect both sportsmen and animal owners natural allies in the legislative and political arenas. SAOVA's members hunt fish and own livestock dogs cats and other pets. We study political candidates in all states to identify those who understand and resist the AR threat as well as those who are in the pocket of the Animal Rightists."
,42,sig-crawler,sig-crawler,42,http://votesmart.org/interest-group/1658/freedomworks,FreedomWorks,http://www.freedomworks.org/,,,http://www.freedomworks.org/,"FreedomWorks fights for lower taxes less government and more economic freedom for all Americans. FreedomWorks combines the stature and experience of America's greatest policy entrepreneurs with the grassroots power of hundreds of thousands of volunteer activists all over the Nation."
,43,sig-crawler,sig-crawler,43,http://votesmart.org/interest-group/1501/national-small-business-association,National Small Business Association,http://www.nsba.biz,,,http://www.nsba.biz,Celebrating its 75th Anniversary in 2012 NSBA continues to advocate on behalf of Americas entrepreneurs. A staunchly nonpartisan organization NSBAs 65000 members represent every state and every industry in the U.S. We are proud to be the nations first small-business advocacy organization.
,44,sig-crawler,sig-crawler,44,http://votesmart.org/interest-group/2179/american-college-of-surgeons,American College of Surgeons,http://www.facs.org/,,,http://www.facs.org/,The American College of Surgeons is a scientific and educational association of surgeons that was founded in 1913 to improve the quality of care for the surgical patient by setting high standards for surgical education and practice
,45,sig-crawler,sig-crawler,45,http://votesmart.org/interest-group/2337/american-association-of-colleges-for-teacher-education,American Association of Colleges for Teacher Education,http://aacte.org/,,,http://aacte.org/,"The American Association of Colleges for Teacher Education is a national alliance of educator preparation programs dedicated to high-quality evidence-based preparation that assures educators are ready to teach all learners on Day 1. Its over 800 member institutions represent public and private colleges and universities in every state the District of Columbia the Virgin Islands Puerto Rico and Guam. AACTE seeks to lead the field in advocacy and capacity building by promoting innovation and effective practices as critical to reforming educator preparation. AACTE leads the field in advocating for and building capacity for high-quality educator preparation programs in a dynamic landscape."
,46,sig-crawler,sig-crawler,46,http://votesmart.org/interest-group/893/national-association-for-the-advancement-of-colored-people-naacp,National Association for the Advancement of Colored People (NAACP),http://www.naacp.org,,,http://www.naacp.org,"The mission of the National Association for the Advancement of Colored People is to ensure the political educational social and economic equality of rights of all persons and to eliminate racial hatred and racial discrimination. The primary focus of the NAACP continues to be the protection and enhancement of the civil rights of African Americans and other minorities."
,47,sig-crawler,sig-crawler,47,http://votesmart.org/interest-group/1911/right-march,Right March,http://www.rightmarch.com/pac/,,,http://www.rightmarch.com/pac/,"The purpose of the RightMarch.com PAC is to raise and distribute funds for to and independently on behalf of conservative candidates and against liberal candidates in targeted primary and general federal elections across America."
,48,sig-crawler,sig-crawler,48,http://votesmart.org/interest-group/762/american-society-of-anesthesiologists,American Society of Anesthesiologists,http://www.asahq.org/,,,http://www.asahq.org/,"The American Society of Anesthesiologists is an educational research and scientific association of physicians organized to raise and maintain the standards of the medical practice of anesthesiology and improve the care of the patient."
,49,sig-crawler,sig-crawler,49,http://votesmart.org/interest-group/192/military-officers-association-of-america,Military Officers Association of America,http://www.moaa.org/,,,http://www.moaa.org/,"An independent nonprofit organization MOAA is operated exclusively to benefit members of the uniformed services--active duty former and retired National Guard and Reserve--and their families and survivors. MOAA is dedicated to preserving their earned entitlements and to maintaining a strong national defense."
,50,sig-crawler,sig-crawler,50,http://votesmart.org/interest-group/182/national-parent-teacher-association,National Parent Teacher Association,http://www.pta.org,,,http://www.pta.org,The overall purpose of PTA is to make every childs potential a reality by engaging and empowering families and communities to advocate for all children.
,51,sig-crawler,sig-crawler,51,http://votesmart.org/interest-group/2058/united-steelworkers,United Steelworkers,http://www.usw.org/,,,http://www.usw.org/,"We're steelworkers. We slurry and smelt aluminum. We mine for iron ore and create cement. We make glass and metals of many kinds. We produce paper and paper products. And we craft energy-saving wind turbines that help save our Earth." We're nurses and nurses' aides. We make Harley Davidson motorcycles and Carrier air conditioners. We're rubber workers who make your tires; metal workers who make the materials that go into buildings homes automobiles planes and roads. We serve you at banks and teach at universities. You'll find us in oil refineries and grocery stores. At utility companies and in chemical plants. We work in the public sector and in forestry. We drive taxi cabs and work in airports. We're security guards and electricians. We're miners and pharmaceutical workers. We're 1.2 million active and retired members strong. You'll find us fighting for a better life for all workers in union halls at the work place in the courts and in legislatures. We're global we're local and we're online."
,52,sig-crawler,sig-crawler,52,http://votesmart.org/interest-group/2342/students-for-a-new-american-politics-snap,Students for a New American Politics (SNAP),http://www.snappac.org/,,,http://www.snappac.org/,"Students for a New American Politics (SNAP) is the nations largest student-run political action committee. Founded in 2005 SNAP has raised over $200000 through 2014 to support progressive candidates for Congress around the country while training the next generation of progressive organizers through the SNAP Fellowship program. When a group of college students came together following the 2004 campaign they envisioned creating an organization that was for students by students. Today SNAP remains staffed entirely by full-time college students and just as committed to putting more college students on the path to careers in grassroots organizing through the SNAP Fellowship program. Since its founding SNAP has sponsored more than 50 college students as full-time organizing fellows."
,53,sig-crawler,sig-crawler,53,http://votesmart.org/interest-group/1509/arab-american-institute,Arab American Institute,http://www.aaiusa.org,,,http://www.aaiusa.org,"The Arab American Institute (AAI) is a nonprofit organization committed to the civic and political empowerment of Americans of Arab descent. AAI represents the policy and community interests of Arab Americans throughout the U.S. through two primary focus areas: campaigns and elections and policy formulation and research."
,54,sig-crawler,sig-crawler,54,http://votesmart.org/interest-group/13/citizens-against-government-waste,Citizens Against Government Waste,http://www.cagw.org/,,,http://www.cagw.org/,"Citizens Against Government Waste [CAGW] is a private non-partisan non-profit organization representing more than one million members and supporters nationwide. CAGW's mission is to eliminate waste mismanagement and inefficiency in the federal government."
,55,sig-crawler,sig-crawler,55,http://votesmart.org/interest-group/1250/iraq-and-afghanistan-veterans-of-america,Iraq and Afghanistan Veterans of America,http://www.iava.org,,,http://www.iava.org,"IAVA strives to build an empowered generation of veterans who provide sustainable leadership for our country and their local communities. We work toward this vision through programs in four key impact areas: supporting new veterans in Health Education Employment and building a lasting Community for vets and their families (HEEC)." "Mission: Improve the lives of Iraq and Afghanistan veterans and their families. Vision: An empowered generation of veterans who provide sustainable leadership for our country and their communities."
,56,sig-crawler,sig-crawler,56,http://votesmart.org/interest-group/2074/american-council-of-engineering-companies,American Council of Engineering Companies,http://www.acec.org/,,,http://www.acec.org/,The American Council of Engineering Companies (ACEC) is the voice of America's engineering industry. Council members  numbering more than 5000 firms representing more than 500000 employees throughout the country  are engaged in a wide range of engineering works that propel the nation's economy and enhance and safeguard America's quality of life. These works allow Americans to drink clean water enjoy a healthy life take advantage of new technologies and travel safely and efficiently. The Council's mission is to contribute to America's prosperity and welfare by advancing the business interests of member firms.
,57,sig-crawler,sig-crawler,57,http://votesmart.org/interest-group/1743/hope-for-peace-and-justice,Hope for Peace and Justice,http://www.h4pj.org,,,http://www.h4pj.org,"Hope for Peace & Justice is a 501(c)3 non-profit organization that is equipping progressive people of faith to be champions for peace and justice founded in 2004 by the Cathedral of Hope - UCC."
,58,sig-crawler,sig-crawler,58,http://votesmart.org/interest-group/2349/republican-main-street-partnership,Republican Main Street Partnership,http://www.mainstreetpac.com/,,,http://www.mainstreetpac.com/,"Main Street symbolizes the place in Americas cities and towns where members of the community come together to exchange ideas and build consensus. The goal of the Republican Main Street Partnership is simple; to find commonsense solutions to problems that people are wrestling with each and every day. In short we represent and support the governing wing of the GOP. The American people are rightfully tired of the hyper-partisanship and gridlock in Washington. Voters want a Washington that works a Washington that can work across party lines to find pragmatic solutions to the challenges we face as a nation. To make Washington work again we need more  not fewer  elected officials who are willing to put partisan politics aside to work for the greater good. Thats where the Republican Main Street PAC comes in  we support Republican candidates who are committed to governing and to making Washington work again."
,59,sig-crawler,sig-crawler,59,http://votesmart.org/interest-group/88/republican-liberty-caucus,Republican Liberty Caucus,http://www.rlc.org,,,http://www.rlc.org,"The Republican Liberty Caucus is a 527 voluntary grassroots membership organization dedicated to working within the Republican Party to advance the principles of individual rights limited government and free markets. Founded in 1991 it is the oldest continuously-operating organization within the Liberty Republican movement. The RLC is divided into eight regions: North East Atlantic South East Central Great Plains South Central North West and South West."
,60,sig-crawler,sig-crawler,60,http://votesmart.org/interest-group/1962/j-street,J Street,http://jstreet.org/,,,http://jstreet.org/,"J Street is the political home for pro-Israel pro-peace Americans to advocate for vigorous U.S. leadership to achieve a two-state solution to the Israeli-Palestinian conflict and to broaden debate around Israel and the Middle East in national politics and the American Jewish community."
,61,sig-crawler,sig-crawler,61,http://votesmart.org/interest-group/1294/small-business-entrepreneurship-council,Small Business & Entrepreneurship Council,http://www.sbecouncil.org,,,http://www.sbecouncil.org,"The Small Business and Entrepreneurship Council (SBE Council) is a 501c(4) advocacy research and training organization dedicated to protecting small business and promoting entrepreneurship. The organization works to educate elected officials policymakers business leaders and the public about key policies that enable business start-up and growth. Through advocacy research training and education SBE Council members and staff convey the importance of entrepreneurship to job creation innovation and economic growth. SBE Council is viewed as one of the most powerful and effective organizations dedicated to promoting entrepreneurship."
,62,sig-crawler,sig-crawler,62,http://votesmart.org/interest-group/1417/national-school-boards-association,National School Boards Association,http://www.nsba.org,,,http://www.nsba.org,"National School Boards Association is a not-for-profit federation of state associations of school boards across the United States. Our mission is to foster excellence and equity in public education through school board leadership. We achieve that mission by representing the school board perspective before federal government agencies and with national organizations that affect education and by providing vital information and services to state associations of school boards and local school boards throughout the nation."
,63,sig-crawler,sig-crawler,63,http://votesmart.org/interest-group/1778/american-academy-of-family-physicians,American Academy of Family Physicians,http://www.aafp.org,,,http://www.aafp.org,"The Mission of the AAFP is to improve the health of patients families and communities by serving the needs of members with professionalism and creativity."
,64,sig-crawler,sig-crawler,64,http://votesmart.org/interest-group/171/american-foreign-service-association,American Foreign Service Association,http://www.afsa.org/,,,http://www.afsa.org/,"AFSA's principal missions are to promote a strong effective professional career Foreign Service as the institutional backbone of American diplomacy enhance the effectiveness of the Foreign Service to protect the professional interests and rights of its members ensure the maintenance of high professional standards for all American diplomats career or political appointees and to promote understanding of the critical role of diplomacy and development in promoting America's national security and economic prosperity. AFSA seeks to be an effective voice and strong advocate for the Foreign Service with management the Congress and the American public."
,65,sig-crawler,sig-crawler,65,http://votesmart.org/interest-group/1835/act-for-america,ACT! for America,http://www.actforamerica.org/,,,http://www.actforamerica.org/,"The mission of ACT! for America is to build a network of chapters made up of informed citizens to speak out for public policies that protect our national security and hold elected officials accountable for those policy decisions while partnering with like-minded organizations to magnify our voice."
